,source_language,split,target_language
1580,you are not consistent .,train,tu n'es pas cohã©rent.
1581,she is always buying expensive clothes .,train,elle est toujours en train d'acheter des vãªtements de prix.
1582,we are n't always right .,train,nous n'avons pas toujours raison.
1583,you are going to have to pay for it .,train,il va falloir que vous le payiez.
1584,he is training a horse for a race .,train,il entraã®ne un cheval pour une course.
1585,i am very tired .,train,je suis trã¨s fatiguã©.
1586,she is his present wife .,train,c'est son ã©pouse du moment.
1587,he is the last person to speak ill of others .,train,c'est le dernier ã  dire du mal des autres.
1588,i am interested in swimming .,train,la natation m'intã©resse.
1589,i am thinking of my vacation .,train,je pense ã  mes vacances.
1590,he is about to leave for london .,train,il est sur le point de partir pour londres.
1591,he is a man of vision .,train,il est un homme de vision.
1592,he is a dj .,train,il est dj.
1593,you are twice as strong as i am .,train,vous ãªtes deux fois plus forte que moi.
1594,i am a member of the baseball team .,train,je suis membre de l'ã©quipe de baseball.
1595,he is fatter than when i last saw him .,train,il est plus gros que la derniã¨re fois que je l'ai vu.
1596,she is no ordinary singer .,train,c'est une chanteuse pas banale.
1597,he is in love with her .,train,il est amoureux d'elle.
1598,they are jealous of our success .,train,elles jalousent notre succã¨s.
1599,he is the tallest of all boys .,train,c'est le plus grand de tous les garã§ons.
1600,he is afraid of death .,train,il a peur de la mort.
1601,she is a stranger to me .,train,elle m'est ã©trangã¨re.
1602,we are flying over the pacific .,train,nous volons au-dessus du pacifique.
1603,he is out of circulation these days .,train,on ne le voit plus ces derniers jours.
1604,he is in poor health .,train,il est en mauvaise santã©.
1605,she is all skin and bone .,train,elle n'a que la peau sur les os.
1606,we are to meet at noon .,train,nous avons rendez-vous ã  midi.
1607,she is the one you should model yourself after .,train,elle est celle dont vous devriez prendre modã¨le.
1608,she is after a better job .,train,elle cherche un meilleur emploi.
1609,i am rather happy .,train,je suis assez content.
1610,he is a good husband to me .,train,c'est un bon mari pour moi.
1611,i am going to have a great day today .,train,je vais avoir une excellente journã©e devant moi aujourd'hui.
1612,"she is , indeed , a lovely girl .",train,c'est vraiment une fille adorable.
1613,she is curious to find who sent the flowers .,train,elle est curieuse de savoir qui a envoyã© les fleurs.
1614,he is acquainted with my wife .,train,c'est une connaissance de ma femme.
1615,we are not here for fun and games .,train,nous ne sommes pas ici pour jouer et nous amuser.
1616,he is always late for school .,train,il est toujours en retard ã  l'ã©cole.
1617,you are a good person .,train,t'es un mec bien.
1618,he is every inch a gentleman .,train,il a tout d'un monsieur.
1619,he is able to swim very fast .,train,il est capable de nager trã¨s vite.
1620,you are not supposed to smoke here .,train,tu n'es pas censã© fumer ici.
1621,he is italian by birth .,train,il est italien de naissance.
1622,she is fond of singing old songs .,train,elle adore chanter de vieilles chansons.
1623,he is hard up for money .,train,il manque d'argent.
1624,you are taller than me .,train,vous ãªtes plus grandes que moi.
1625,she is afraid of her own shadow .,train,elle a peur de son propre ombre.
1626,i am brushing my teeth .,train,je me brosse les dents.
1627,i am still attached to this bicycle .,train,je suis toujours attachã© ã  ce vã©lo.
1628,i am happy to hear your voice .,train,je me rã©jouis d'entendre votre voix.
1629,she is going on 35 .,train,elle va sur ses 35 ans.
1630,they are much taller than us .,train,ils sont beaucoup plus grands que nous.
1631,she is popular with other girls .,train,elle est populaire auprã¨s des autres filles.
1632,you are important .,train,vous ãªtes important.
1633,he is tired of watching television .,train,il est fatiguã© de regarder la tã©lã©vision.
1634,he is having lunch .,train,il est en train de dã©jeuner.
1635,he is a handsome man .,train,c'est un bel homme.
1636,he is a heroin addict .,train,il est hã©roã¯no-dã©pendant.
1637,i am grateful to you for your kindness .,train,je vous suis reconnaissant de votre gentillesse.
1638,you are beautiful .,train,tu es belle.
1639,she is not as patient as you .,train,elle n'est pas aussi patiente que toi.
1640,she is no match for me .,train,elle n'est pas de taille avec moi.
1641,i am looking for a jewelry store .,train,je cherche une bijouterie.
1642,you are entirely correct .,train,vous avez entiã¨rement raison.
1643,we are working hard to make up for lost time .,train,nous travaillons dur pour rattraper le temps perdu.
1644,i am sorry . i am not from here .,train,je suis dã©solã©. je ne suis pas d'ici.
1645,i am sure of his winning the speech contest .,train,je suis sã»r qu'il va remporter le concours de diction.
1646,he is enjoying his school life .,train,il profite de sa vie d'ã©colier.
1647,she is not up yet .,train,elle n'est pas encore debout.
1648,he is generous to his friends .,train,il est gã©nã©reux envers ses amis.
1649,he is asleep .,train,il est endormi.
1650,i am fond of playing the guitar .,train,j'aime bien jouer de la guitare.
1651,they are still children .,train,elles sont encore des enfants.
1652,they are from the united states .,train,elles sont des ã‰tats-unis.
1653,you are n't one of us .,train,vous n'ãªtes pas l'un des nã´tres.
1654,he is strong as a horse .,train,il est fort comme un cheval.
1655,he is crazy about skiing .,train,il est fou de ski.
1656,you are fabulous .,train,tu es fabuleux.
1657,he is a big eater .,train,c'est un gros mangeur.
1658,she is easygoing .,train,c'est une femme dã©contractã©e.
1659,i am afraid of having trouble .,train,j'ai peur d'avoir des problã¨mes.
1660,he is good at singing .,train,il chante bien.
1661,he is more crafty than wise .,train,il est plus rusã© que sage.
1662,they are n't the kind of people you should want to be friends with .,train,ils ne sont pas le genre de personnes avec lesquels vous voudriez ãªtre ami.
1663,i am an optimist by nature .,train,je suis optimiste de nature.
1664,we are a family of four .,train,nous sommes une famille de quatre.
1665,she is now better off than when she was young .,train,elle est maintenant plus ã  l'aise que quand elle ã©tait jeune.
1666,i am swamped with work .,train,je suis submergã© de travail.
1667,you are very attractive in blue .,train,vous ãªtes trã¨s jolie en bleu.
1668,he is a psychic .,train,c'est un voyant.
1669,i am so sorry to have kept you waiting .,train,je suis tellement dã©solã©e de vous avoir fait attendre.
1670,he is handsome and clever .,train,il est beau et intelligent.
1671,i am seeing my uncle tomorrow .,train,je verrai mon oncle demain.
1672,we are students .,train,nous sommes ã©tudiants.
1673,he is learning how to drive a car .,train,il est en train d'apprendre comment conduire une voiture.
1674,she is eighteen at most .,train,"elle a dix-huit ans, au plus."
1675,i am worried about my mother 's health .,train,je suis inquiet pour la santã© de ma mã¨re.
1676,he is in the kitchen .,train,il est dans la cuisine.
1677,she is making dinner .,train,elle prã©pare le dã®ner.
1678,he is always full of ideas .,train,il est toujours bourrã© d'idã©es.
1679,she is n't old enough to get a driving license .,train,elle n'est pas assez grande pour obtenir son permis de conduire.
1680,they are no more alike than a cow and a canary .,train,ils ne sont pas plus semblables qu'une vache ã  un canari.
1681,he is an actor .,train,c'est un acteur.
1682,she is able to sing very well .,train,elle sait trã¨s bien chanter.
1683,we are all eager to see the movie .,train,on est tous impatients de voir le film.
1684,they are jealous of our success .,train,ils sont jaloux de notre succã¨s.
1685,she is not only intelligent but beautiful .,train,"elle est non seulement intelligente, mais aussi jolie."
1686,he is still too young for the job .,train,il est encore trop jeune pour ce travail.
1687,he is probably still alive .,train,il est probablement toujours vivant.
1688,he is numbered among the greatest scientists in the world .,train,il compte parmi les plus grands scientifiques mondiaux.
1689,she is his friend .,train,elle est son amie.
1690,they are good people .,train,ce sont de bonnes gens.
1691,he is a doctor by profession .,train,il est mã©decin de profession.
1692,he is a biologist .,train,il est biologiste.
1693,she is a college student .,train,elle est ã©tudiante ã  l'universitã©.
1694,i am new here .,train,je suis nouveau ici.
1695,they are both working at the pet store .,train,ils travaillent tous les deux ã  l'animalerie.
1696,he is not what he seems .,train,il n'est pas ce qu'il semble.
1697,she is terrible at cooking .,train,elle est trã¨s mauvaise cuisiniã¨re.
1698,she is proud of her daughter .,train,elle est fiã¨re de sa fille.
1699,he is powerful .,train,il est puissant.
1700,you are n't as short as i am .,train,vous n'ãªtes pas aussi petit que moi.
1701,he is absorbed in reading detective novels .,train,il est absorbã© ã  lire des romans de dã©tectives.
1702,you are n't supposed to swim here .,train,vous n'ãªtes pas censã©e nager ici.
1703,she is wrong .,train,elle a tort.
1704,we are faced with a host of problems .,train,nous sommes confrontã©s ã  une foule de problã¨mes.
1705,she is sharp .,train,elle est tranchante.
1706,she is wearing a nice watch .,train,elle porte une belle montre.
1707,"you are n't going to tell on me , are you ?",train,"tu ne vas pas me dã©noncer, n'est-ce pas ?"
1708,you are trusted by every one of us .,train,chacun de nous te fait confiance.
1709,he is considered one of the greatest scientists in our country .,train,il est considã©rã© comme l'un des meilleurs scientifiques du pays.
1710,i am glad to help you .,train,je suis content de t'aider.
1711,i am frying fish .,train,je fais frire du poisson.
1712,he is too much of a coward to attempt it .,train,il est trop peureux pour le tenter.
1713,you are big .,train,tu es grande.
1714,he is an authority on the humanities .,train,c'est une autoritã© en matiã¨re d'humanitã©s.
1715,they are talking about what they will sing .,train,ils parlent de ce qu'ils vont chanter.
1716,i am from france .,train,je viens de france.
1717,he is able to speak japanese .,train,il peut parler japonais.
1718,he is capable of teaching french .,train,il est capable d'enseigner le franã§ais.
1719,he is very slow at making friends with anybody .,train,il est trã¨s lent pour sympathiser avec qui que ce soit.
1720,he is the tallest man that i have ever seen .,train,c'est l'homme le plus grand que j'ai jamais vu.
1721,they are five in all .,train,elles sont cinq en tout.
1722,he is not too poor to buy a bicycle .,train,il n'est pas trop pauvre pour acheter une bicyclette.
1723,i am concerned for her safety .,train,je me fais des soucis pour sa sã©curitã©.
1724,he is working as a security guard at a warehouse .,train,il travaille comme gardien dans un entrepã´t.
1725,we are moving next month .,train,nous dã©mã©nageons le mois prochain.
1726,i am near the station .,train,je me trouve prã¨s de la gare.
1727,i am starting this evening .,train,je commence dã¨s ce soir.
1728,i am very hungry .,train,je crã¨ve la dalle.
1729,he is talking of going to spain this winter .,train,il est en train de parler d'aller en espagne cet hiver.
1730,he is not what he was .,train,il n'est plus ce qu'il ã©tait.
1731,she is pleased with the dress .,train,elle est satisfaite par la robe.
1732,he is thick as a brick .,train,il est vraiment lourd.
1733,she is preparing for college .,train,elle est en train de se prã©parer pour la facultã©.
1734,we are at war .,train,nous sommes en guerre.
1735,i am curious .,train,je suis curieux.
1736,he is tall and handsome .,train,il est ã  la fois grand et beau.
1737,i am losing my patience with you .,train,je perds patience avec vous.
1738,i am too tired to walk any more .,train,je suis trop fatiguã© pour marcher davantage.
1739,i am very grateful for your help .,train,je suis trã¨s reconnaissant pour votre aide.
1740,she is gracious to everyone .,train,elle est sympathique avec tout le monde.
1741,he is at home today .,train,il est ã  la maison aujourd'hui.
1742,he is the father of three children .,train,il est pã¨re de trois enfants.
1743,i am afraid that you will get lost .,train,je crains que tu te perdes.
1744,she is hard on them .,train,elle est dure avec eux.
1745,they are very compatible .,train,ils sont trã¨s compatibles.
1746,we are responsible for your protection from now on .,train,nous sommes dã©sormais responsables de votre protection.
1747,she is as beautiful as ever .,train,"elle est belle, comme toujours."
1748,you are n't invited .,train,tu n'es pas invitã©e.
1749,they are both good .,train,elles sont bonnes toutes les deux.
1750,i am glad to help you .,train,je suis contente de t'aider.
1751,we are sorry for the inconvenience .,train,nous sommes dã©solã©es pour le dã©rangement.
1752,i am going to a concert next week .,train,je vais aller ã  un concert la semaine prochaine.
1753,i am not good at mathematics .,train,je ne suis pas bon en mathã©matiques.
1754,he is probably still alive .,train,il est probablement toujours en vie.
1755,he is eager to become famous .,train,il est avide de gloire.
1756,i am interested in the cello and the piano .,train,je m'intã©resse au violoncelle et au piano.
1757,"you are n't going to cry , are you ?",train,"tu ne vas pas te mettre ã  pleurer, siâ€¯?"
1758,he is proficient in english .,train,il est trã¨s compã©tent en anglais.
1759,he is old enough to drive a car .,train,il est assez ã¢gã© pour conduire une voiture.
1760,he is the boss 's private secretary .,train,c'est le secrã©taire particulier du patron.
1761,you are n't like the others .,train,tu n'es pas comme les autres.
1762,she is expecting a child .,train,elle attend un enfant.
1763,he is by nature a generous person .,train,c'est par nature une personne gã©nã©reuse.
1764,he is less strict than our teacher .,train,il est moins sã©vã¨re que notre professeur.
1765,i am feeling sad about it .,train,je me sens triste ã  cause de ã§a.
1766,he is well off now .,train,"il est riche, maintenant."
1767,you are n't allowed to park there .,train,vous n'ãªtes pas autorisã©s ã  stationner lã .
1768,he is immediately above me in rank .,train,il est d'un rang juste au-dessus du mien.
1769,he is not the shy boy he used to be .,train,il n'est plus le garã§on timide qu'il ã©tait.
1770,i am japanese .,train,je suis japonais.
1771,they are both good .,train,ils sont bons tous les deux.
1772,he is now on his own .,train,il est dã©sormais ã  son compte.
1773,they are loyal to their master .,train,ils sont loyaux envers leur maã®tre.
1774,"you are n't in a hurry , are you ?",train,"tu n'es pas pressã©e, siâ ?"
1775,he is a fishmonger .,train,il est poissonnier.
1776,they are reading their newspapers .,train,ils sont en train de lire leurs journaux.
1777,he is above doing such a thing .,train,il est au-dessus d'un tel acte.
1778,we are happy .,train,nous sommes heureux.
1779,he is in the habit of reading the newspaper while eating .,train,il a l'habitude de lire le journal pendant le repas.
1780,she is always fishing for compliments .,train,elle est toujours en quãªte de compliments.
1781,he is concerned about the result of the exam .,train,il s'inquiã¨te pour les rã©sultats de l'examen.
1782,she is very afraid of the dark .,train,elle a trã¨s peur du noir.
1783,he is always kind to animals .,train,il est toujours gentil envers les animaux.
1784,i am just warming up now .,train,pour l'instant je m'entraã®ne seulement.
1785,he is no fool .,train,il n'est pas fou.
1786,he is lost in thought .,train,il est perdu dans ses pensã©es.
1787,he is a spoiled child .,train,c'est un enfant pourri gã¢tã©.
1788,he is something of a scholar .,train,il a quelque chose d'un ã©rudit.
1789,we are n't ready to go home yet .,train,nous ne sommes pas encore prãªts pour rentrer ã  la maison.
1790,he is popular with everybody .,train,il est populaire auprã¨s de tout le monde.
1791,he is walking towards the station .,train,il marche en direction de la gare.
1792,i am looking for a book about medieval spain .,train,je cherche un livre traitant de l'espagne mã©diã©vale.
1793,she is saving money to go abroad .,train,elle ã©conomise de l'argent pour aller ã  l'ã©tranger.
1794,i am trying to learn english .,train,j'essaye d'apprendre l'anglais.
1795,they are considered the greatest rock band in history .,train,ils sont considã©rã©s comme le plus grand groupe de rock de l'histoire.
1796,"she is fresh from college , so she has no experience .",train,"elle vient de sortir de l'ã©cole, donc elle n'a pas d'expã©rience."
1797,he is angry with you .,train,il est furieux contre vous.
1798,they are very cheerful .,train,ils sont fort joyeux.
1799,i am not like you .,train,je ne suis pas comme vous.
1800,they are artists .,train,ils sont artistes.
1801,he is alert to every chance of making money .,train,il est ã  l'affã»t de tout ce qui pourrait lui faire gagner de l'argent.
1802,he is the head of the sales department .,train,il est le chef du dã©partement de vente.
1803,i am not a witch .,train,je ne suis pas une sorciã¨re.
1804,i am bored to death .,train,je m'ennuie ã  en mourir.
1805,he is probably dead .,train,il est probablement mort.
1806,she is a little shy .,train,elle est quelque peu timide.
1807,he is well off .,train,il est riche.
1808,i am right .,train,j'ai raison.
1809,you are morons .,train,vous ãªtes des crã©tins.
1810,he is tall and strong .,train,il est grand et fort.
1811,she is always smoking .,train,elle est toujours ã  fumer.
1812,they are willing to help us out .,train,ils veulent bien nous aider.
1813,you are strong .,train,tu es fort.
1814,i am to take over my father 's business .,train,je vais reprendre l'affaire de mon pã¨re.
1815,i am looking forward to seeing you again .,train,je me rã©jouis de te revoir.
1816,she is very intelligent .,train,elle est vraiment intelligente.
1817,he is the only american to have swum the english channel .,train,il est le seul amã©ricain ayant traversã© la manche ã  la nage.
1818,"you are , so to speak , a fish out of water .",train,"vous ãªtes, pour ainsi dire, un poisson hors de l'eau."
1819,he is a bad driver .,train,il est mauvais conducteur.
1820,i am yours and you are mine .,train,je suis tienne et tu es mien.
1821,he is n't as old as my brother .,train,il n'est pas aussi ã¢gã© que mon frã¨re.
1822,he is good for nothing .,train,il n'est bon ã  rien.
1823,i am a cook .,train,je suis cuisinier.
1824,he is out of the office .,train,il n'est pas au bureau.
1825,"he is a british citizen , but lives in india .",train,il est anglais mais vit en inde.
1826,he is not the sort of man who counts on others for help .,train,il n'est pas le genre d'homme qui compte sur les autres.
1827,i am not used to drinking coffee without sugar .,train,je ne suis pas habituã© ã  boire du cafã© sans sucre.
1828,she is about as tall as me .,train,elle est ã  peu prã¨s de la mãªme taille que moi.
1829,you are old enough to know this .,train,tu es suffisamment vieux pour savoir ã§a.
1830,he is worthy to be captain of our team .,train,il est digne d'ãªtre le capitaine de notre ã©quipe.
1831,you are really annoying .,train,tu es vraiment embãªtante.
1832,she is working hard this semester .,train,"elle travaille dur, ce semestre."
1833,we are n't like them .,train,nous ne sommes pas comme elles.
1834,they are n't telling us the truth .,train,ils ne nous disent pas la vã©ritã©.
1835,she is quick at everything .,train,elle est rapide pour tout.
1836,they are my sisters .,train,ce sont mes så“urs.
1837,she is a good writer .,train,elle est bon ã©crivain.
1838,i am accustomed to working hard .,train,je suis habituã©e ã  travailler dur.
1839,he is trusted by his parents .,train,ses parents lui font confiance.
1840,you are very beautiful .,train,vous ãªtes trã¨s belle.
1841,you are very kind to show me the way .,train,c'est trã¨s gentil ã  vous de me montrer le chemin.
1842,i am waiting for the store to open .,train,j'attends que le magasin ouvre.
1843,you are my hero .,train,vous ãªtes mon hã©ros.
1844,you are in my way .,train,tu es sur mon chemin.
1845,he is always reading .,train,il lit ã  longueur de temps.
1846,i am glad that you have succeeded .,train,je suis heureuse que vous ayez rã©ussi.
1847,he is very depressed .,train,il est trã¨s dã©primã©.
1848,i am too tired to run .,train,je suis trop fatiguã© pour courir.
1849,you are twice as strong as i am .,train,vous ãªtes deux fois plus forts que moi.
1850,she is five years old .,train,elle a cinq ans.
1851,i am much obliged to you for your help .,train,j'apprã©cie beaucoup ton aide.
1852,i am in the habit of going for a walk before breakfast .,train,j'ai l'habitude d'aller marcher avant le petit-dã©jeuner.
1853,you are under oath .,train,vous ãªtes sous serment.
1854,"he is not a singer , but an actor .",train,"il n'est pas chanteur, mais acteur."
1855,he is always saying bad things about others .,train,il est tout le temps en train de dire du mal des autres.
1856,i am looking for a part-time job so i can buy a new video camera .,train,je suis ã  la recherche d'un travail ã  temps partiel afin de pouvoir m'acheter un nouveau camã©scope.
1857,he is proud that his father was a famous scientist .,train,il est fier de ce que son pã¨re ã©tait un grand scientifique.
1858,i am very hungry .,train,j'ai les crocs.
1859,he is accustomed to speaking in public .,train,il est habituã© ã  parler en public.
1860,he is a dramatist .,train,il est dramaturge.
1861,you are a student .,train,vous ãªtes un ã©tudiant.
1862,i am a man .,train,je suis un homme.
1863,he is not qualified for the job .,train,il n'est pas qualifiã© pour ce poste.
1864,he is inclined to get mad .,train,il a tendance ã  se mettre en colã¨re.
1865,he is suffering from a headache .,train,il souffre d'un mal de tãªte.
1866,he is now in a very difficult situation .,train,il est dã©sormais dans une situation trã¨s difficile.
1867,we are looking for a nice house to live in .,train,nous cherchons une belle maison pour y habiter.
1868,they are not very different from anybody else .,train,elles ne sont pas trã¨s diffã©rentes de qui que ce soit d'autre.
1869,she is nothing but a child .,train,ce n'est rien qu'une enfant.
1870,she is brushing her hair .,train,elle se brosse les cheveux.
1871,i am very sorry for what i said .,train,je suis vraiment dã©solã© pour ce que j'ai dit.
1872,i am ashamed of my son 's conduct .,train,j'ai honte du comportement de mon fils.
1873,you are the one .,train,vous ãªtes celui-lã .
1874,i am in favor of your proposal .,train,je suis en faveur de ta proposition.
1875,"he is not rich , but he is happy .",train,"il n'est pas riche, mais il est heureux."
1876,he is proud of being a musician .,train,il est fier d'ãªtre musicien.
1877,you are really very productive today .,train,vous ãªtes vraiment trã¨s productive aujourd'hui.
1878,she is envious of my success .,train,elle est jalouse de ma rã©ussite.
1879,he is ashamed of his behavior .,train,il a honte de son attitude.
1880,she is constantly writing letters .,train,elle est constamment en train d'ã©crire des lettres.
1881,he is a lawyer by profession .,train,il fait profession d'avocat.
1882,i am really sorry to hear that .,train,je regrette vraiment d'entendre ã§a.
1883,she is getting better day by day .,train,elle va mieux de jour en jour.
1884,he is precious to us .,train,il est prã©cieux pour nous.
1885,i am very pleased .,train,je suis trã¨s satisfait.
1886,you are welcome here .,train,vous ãªtes bienvenue ici.
1887,i am almost scared to talk with you .,train,je suis presque effrayã© de vous parler.
1888,she is doing her homework now .,train,elle est actuellement en train de faire ses devoirs.
1889,he is afraid of dogs .,train,il a peur des chiens.
1890,he is likely to win the game .,train,il a des chances de remporter la partie.
1891,she is a twin .,train,c'est une jumelle.
1892,he is a hard man to deal with .,train,c'est un homme dur en affaire.
1893,they are both unmarried .,train,tous les deux sont cã©libataires.
1894,i am looking for my glasses .,train,je cherche mes lunettes.
1895,you are a student .,train,tu es une ã©tudiante.
1896,"you are n't busy now , are you ?",train,"tu n'es pas occupã© maintenant, si ?"
1897,i am seeing mary this afternoon .,train,je vois mary cette aprã¨s-midi.
1898,she is used to cooking .,train,elle a l'habitude de faire la cuisine.
1899,you are the one .,train,vous ãªtes l'ã©lue.
1900,she is accustomed to doing her homework before dinner .,train,elle a l'habitude de faire ses devoirs avant le dã®ner.
1901,he is one of my old friends .,train,c'est l'un de mes vieux amis.
1902,she is quiet .,train,elle est tranquille.
1903,you are too young to travel alone .,train,vous ãªtes trop jeune pour voyager seule.
1904,he is unpopular for some reason .,train,il est impopulaire pour une raison quelconque.
1905,she is good at skiing .,train,elle est bonne en ski.
1906,he is always dwelling on the pleasures of the past .,train,il est constamment perdu dans des pensã©es nostalgiques.
1907,he is an american .,train,il est amã©ricain.
1908,you are early .,train,tu es matinale.
1909,we are n't here to arrest you .,train,nous ne sommes pas ici pour vous arrãªter.
1910,i am ready to go with you .,train,je suis prãªt ã  aller avec vous.
1911,she is knitting a sweater .,train,elle tricote un pull.
1912,i am hungry because i did not have breakfast .,train,"j'ai faim, car je n'ai pas pris mon petit dã©jeuner."
1913,i am american .,train,je suis amã©ricain.
1914,i am glad to help you .,train,je suis content de vous aider.
1915,she is prudish .,train,elle est prude.
1916,i am hungry because i did not eat breakfast .,train,"j'ai faim, car je n'ai pas pris mon petit dã©jeuner."
1917,he is studying agriculture .,train,il ã©tudie l'agronomie.
1918,i am a shy boy .,train,je suis un garã§on timide.
1919,they are very cheerful .,train,elles sont fort joyeuses.
1920,i am looking forward to seeing you again .,train,je me rã©jouis de vous revoir.
1921,they are in class .,train,ils sont en classe.
1922,he is working on a new novel .,train,il travaille sur un nouveau roman.
1923,i am having trouble with one thing after another .,train,j'ai des problã¨mes avec une chose aprã¨s l'autre.
1924,i am going to a concert next week .,train,je vais ã  un concert la semaine prochaine.
1925,he is a professor of english at leeds .,train,il est professeur d'anglais ã  leeds.
1926,i am never free on sundays .,train,je ne suis jamais libre le dimanche.
1927,he is proficient in farsi .,train,il a une bonne maã®trise de la langue persane.
1928,we are n't that poor .,train,nous ne sommes pas si pauvres.
1929,i am a stranger here .,train,"je suis un ã©tranger, ici."
1930,i am familiar with his music .,train,je suis familier de sa musique.
1931,he is reading a book .,train,il lit un livre.
1932,he is always finding fault with other people .,train,il trouve toujours ã  redire aux autres.
1933,you are not japanese .,train,vous n'ãªtes pas japonaise.
1934,i am blessed with good health .,train,j'ai la chance d'avoir une bonne santã©.
1935,he is always forgetting things .,train,il oublie toujours des choses.
1936,he is sure to pass the exam if he studies at this rate .,train,il est certain de rã©ussir l'examen s'il ã©tudie ã  ce rythme.
1937,i am about as big as my father now .,train,je suis presque aussi grand que mon pã¨re maintenant.
1938,he is n't afraid of death .,train,il n'a pas peur de la mort.
1939,he is a methodical person .,train,il est mã©thodique.
1940,i am thinking about that matter .,train,je suis en train de penser ã  cette affaire.
1941,he is doing well .,train,il va bien.
1942,you are in part responsible for it .,train,vous en ãªtes en partie responsables.
1943,we are encouraged to use our imagination .,train,on nous encourage ã  utiliser notre imagination.
1944,she is writing a letter now .,train,elle ã©crit une lettre maintenant.
1945,he is a simple man .,train,c'est un homme simple.
1946,he is a good tennis player .,train,c'est un trã¨s bon joueur de tennis.
1947,i am not a morning person .,train,je ne suis pas matinal.
1948,i am sixteen years old .,train,j'ai seize ans.
1949,"he is not my son , but my nephew .",train,"ce n'est pas mon fils, c'est mon neveu."
1950,you are the one .,train,vous ãªtes celle-lã .
1951,she is as poor as ever .,train,elle est toujours aussi pauvre.
1952,you are old enough to know better than to act like that .,train,tu es assez ã¢gã© pour savoir qu'il ne faut pas agir ainsi.
1953,he is outgoing .,train,il est extraverti.
1954,you are not supposed to smoke at school .,train,vous ãªtes supposã©e ne pas fumer ã  l'ã©cole.
1955,he is a scientist who is respected by everybody .,train,c'est un scientifique qui est respectã© par tous.
1956,you are twice as strong as me .,train,vous ãªtes deux fois plus fortes que moi.
1957,i am leaving japan tomorrow morning .,train,je quitte le japon demain matin.
1958,he is the very man for the job .,train,il est exactement celui qu'il faut pour le poste.
1959,i am going on a picnic tomorrow .,train,je me rends ã  un pic-nic demain.
1960,he is always day-dreaming .,train,il est toujours dans les nuages.
1961,you are both pretty and kind .,train,tu es ã  la fois mignon et gentil.
1962,he is thick-headed .,train,il est bornã©.
1963,we are next-door neighbors .,train,nous sommes les voisins d'ã  cã´tã©.
1964,she is habitually late .,train,elle est habituellement en retard.
1965,he is always finding fault with others .,train,il trouve toujours ã  redire aux autres.
1966,they are talking about what they will sing .,train,ils discutent de ce qu'ils vont chanter.
1967,he is his usual self .,train,il est pareil ã  lui-mãªme.
1968,she is busy preparing for the trip .,train,elle est occupã©e ã  prã©parer le voyage.
1969,he is good at driving .,train,il est bon conducteur.
1970,"he is cool , is n't he ?",train,"il est cool, pas vrai ?"
1971,he is not as well off as he used to be .,train,il n'est pas aussi riche qu'avant.
1972,you are acting like a three-year-old child .,train,tu agis comme un gamin de 3 ans.
1973,you are early .,train,vous ãªtes matinale.
1974,we are going to the movies . come with us .,train,nous allons au cinã© : viens donc avec nous !
1975,i am not in the least afraid of dogs .,train,je n'ai pas du tout peur des chiens.
1976,he is capable of doing such a thing .,train,il est capable de faire une chose pareille.
1977,he is watching tv .,train,il regarde la tã©lã©vision.
1978,you are late .,train,vous ãªtes en retard.
1979,he is not so tall .,train,il n'est pas si grand.
1980,"you are n't in a hurry , are you ?",train,"vous n'ãªtes pas pressã©e, si ?"
1981,he is acquainted with the mayor .,train,il connaã®t le maire.
1982,i am afraid he will fail .,train,j'ai peur qu'il ã©choue.
1983,he is the man you can rely on .,train,c'est un homme sur qui vous pouvez compter.
1984,i am interested in swimming .,train,je m'intã©resse ã  la natation.
1985,he is no stranger to me .,train,ce n'est pas un inconnu pour moi.
1986,they are saving their money for the purchase of a house .,train,ils ã©conomisent leur argent pour l'acquisition d'une maison.
1987,he is concerned about his parent 's health .,train,il est inquiet pour la santã© de ses parents.
1988,he is well acquainted with the history of england .,train,il connaã®t bien l'histoire de l'angleterre.
1989,i am not sure how to pronounce the word .,train,je ne suis pas sã»r de la prononciation de ce mot.
1990,you are more stupid than i thought .,train,tu es plus idiot que je pensais.
1991,he is sharp-witted .,train,il a l'esprit vif.
1992,he is a born poet .,train,c'est un poã¨te nã©.
1993,i am not proud of this .,train,je ne suis pas fier de ã§a.
1994,he is not strong as before .,train,il n'est plus aussi fort qu'avant.
1995,she is good at swimming .,train,elle est bonne en natation.
1996,he is only a child .,train,il n'est qu'un enfant.
1997,i am grateful to you for inviting me to the party .,train,je vous suis redevable de m'avoir invitã© ã  la fãªte.
1998,she is listening to him .,train,elle l'ã©coute.
1999,you are imagining things .,train,ce sont des idã©es que tu te fais.
2000,you are the last person that i expected to meet .,train,tu es la derniã¨re personne que je m'attendais ã  rencontrer.
2001,she is merciful .,train,elle est misã©ricordieuse.
2002,"he is n't coming , either .",train,il ne vient pas non plus.
2003,i am off duty tomorrow .,train,"je ne suis pas de garde, demain."
2004,"i am finnish , but i speak also swedish .",train,"je suis finlandais, mais je parle aussi suã©dois."
2005,he is respected by everyone .,train,il est respectã© par tout le monde.
2006,"i am seventeen years old , too .",train,j'ai ã©galement dix-sept ans.
2007,i am proud to work with you .,train,je suis fier de travailler avec vous.
2008,i am very interested in these stories .,train,je suis trã¨s intã©ressã© par des histoires.
2009,we are n't married .,train,nous ne sommes pas mariã©s.
